
 *GET  ACTIVEUNITS  FROM  ACTI  ITEM=UNIT       VALUE=  5.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Student      
 01055371  VERSION=WINDOWS x64   15:00:54  DEC 06, 2025 CP=      1.875

 simulazioneTrasduttoreUltrasonicoConConcentratore--Harmonic Response (E3)     



          ***** MAPDL POST26 VARIABLE LISTING *****


    FREQ                 6 REAL                      7 IMAG    
                      IMPD_REA                    IMPD_IMA
                      L                           G       
                    REAL       IMAGINARY        REAL       IMAGINARY    
    24300.       0.00000       0.00000      -2474.32       0.00000     
    24400.       0.00000       0.00000      -2461.36       0.00000     
    24500.       0.00000       0.00000      -2448.69       0.00000     
    24600.       0.00000       0.00000      -2436.28       0.00000     
    24700.       0.00000       0.00000      -2424.13       0.00000     
    24800.       0.00000       0.00000      -2412.21       0.00000     
    24900.       0.00000       0.00000      -2400.51       0.00000     
    25000.       0.00000       0.00000      -2389.00       0.00000     
    25100.       0.00000       0.00000      -2377.69       0.00000     
    25200.       0.00000       0.00000      -2366.55       0.00000     
    25300.       0.00000       0.00000      -2355.58       0.00000     
    25400.       0.00000       0.00000      -2344.76       0.00000     
    25500.       0.00000       0.00000      -2334.10       0.00000     
    25600.       0.00000       0.00000      -2323.58       0.00000     
    25700.       0.00000       0.00000      -2313.20       0.00000     
    25800.       0.00000       0.00000      -2302.94       0.00000     
    25900.       0.00000       0.00000      -2292.81       0.00000     
    26000.       0.00000       0.00000      -2282.80       0.00000     
    26100.       0.00000       0.00000      -2272.91       0.00000     
    26200.       0.00000       0.00000      -2263.13       0.00000     
    26300.       0.00000       0.00000      -2253.45       0.00000     
    26400.       0.00000       0.00000      -2243.88       0.00000     
    26500.       0.00000       0.00000      -2234.40       0.00000     
    26600.       0.00000       0.00000      -2225.02       0.00000     
    26700.       0.00000       0.00000      -2215.74       0.00000     
    26800.       0.00000       0.00000      -2206.55       0.00000     
    26900.       0.00000       0.00000      -2197.44       0.00000     
    27000.       0.00000       0.00000      -2188.42       0.00000     
    27100.       0.00000       0.00000      -2179.49       0.00000     
    27200.       0.00000       0.00000      -2170.63       0.00000     
    27300.       0.00000       0.00000      -2161.86       0.00000     
    27400.       0.00000       0.00000      -2153.16       0.00000     
    27500.       0.00000       0.00000      -2144.53       0.00000     
    27600.       0.00000       0.00000      -2135.98       0.00000     
    27700.       0.00000       0.00000      -2127.50       0.00000     
    27800.       0.00000       0.00000      -2119.09       0.00000     
    27900.       0.00000       0.00000      -2110.75       0.00000     
    28000.       0.00000       0.00000      -2102.48       0.00000     
    28100.       0.00000       0.00000      -2094.27       0.00000     
    28200.       0.00000       0.00000      -2086.13       0.00000     
    28300.       0.00000       0.00000      -2078.04       0.00000     
    28400.       0.00000       0.00000      -2070.02       0.00000     
    28500.       0.00000       0.00000      -2062.06       0.00000     
    28600.       0.00000       0.00000      -2054.16       0.00000     
    28700.       0.00000       0.00000      -2046.32       0.00000     
    28800.       0.00000       0.00000      -2038.53       0.00000     
    28900.       0.00000       0.00000      -2030.80       0.00000     
    29000.       0.00000       0.00000      -2023.12       0.00000     
    29100.       0.00000       0.00000      -2015.49       0.00000     
    29200.       0.00000       0.00000      -2007.92       0.00000     
    29300.       0.00000       0.00000      -2000.40       0.00000     
    29400.       0.00000       0.00000      -1992.93       0.00000     
    29500.       0.00000       0.00000      -1985.50       0.00000     
    29600.       0.00000       0.00000      -1978.12       0.00000     
