
 *GET  ACTIVEUNITS  FROM  ACTI  ITEM=UNIT       VALUE=  5.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Student      
 01055371  VERSION=WINDOWS x64   16:56:40  NOV 30, 2025 CP=      1.797

 simulazioneTrasduttoreUltrasonico--Harmonic Response (D3)                     



          ***** MAPDL POST26 VARIABLE LISTING *****


    FREQ                 6 REAL                      7 IMAG    
                      IMPD_REA                    IMPD_IMA
                      L                           G       
                    REAL       IMAGINARY        REAL       IMAGINARY    
    36020.       0.00000       0.00000      -1432.38       0.00000     
    36040.       0.00000       0.00000      -1430.21       0.00000     
    36060.       0.00000       0.00000      -1428.03       0.00000     
    36080.       0.00000       0.00000      -1425.83       0.00000     
    36100.       0.00000       0.00000      -1423.61       0.00000     
    36120.       0.00000       0.00000      -1421.38       0.00000     
    36140.       0.00000       0.00000      -1419.14       0.00000     
    36160.       0.00000       0.00000      -1416.87       0.00000     
    36180.       0.00000       0.00000      -1414.60       0.00000     
    36200.       0.00000       0.00000      -1412.30       0.00000     
    36220.       0.00000       0.00000      -1409.98       0.00000     
    36240.       0.00000       0.00000      -1407.65       0.00000     
    36260.       0.00000       0.00000      -1405.30       0.00000     
    36280.       0.00000       0.00000      -1402.93       0.00000     
    36300.       0.00000       0.00000      -1400.54       0.00000     
    36320.       0.00000       0.00000      -1398.13       0.00000     
    36340.       0.00000       0.00000      -1395.70       0.00000     
    36360.       0.00000       0.00000      -1393.26       0.00000     
    36380.       0.00000       0.00000      -1390.79       0.00000     
    36400.       0.00000       0.00000      -1388.29       0.00000     
    36420.       0.00000       0.00000      -1385.78       0.00000     
    36440.       0.00000       0.00000      -1383.25       0.00000     
    36460.       0.00000       0.00000      -1380.69       0.00000     
    36480.       0.00000       0.00000      -1378.10       0.00000     
    36500.       0.00000       0.00000      -1375.50       0.00000     
    36520.       0.00000       0.00000      -1372.87       0.00000     
    36540.       0.00000       0.00000      -1370.21       0.00000     
    36560.       0.00000       0.00000      -1367.53       0.00000     
    36580.       0.00000       0.00000      -1364.82       0.00000     
    36600.       0.00000       0.00000      -1362.09       0.00000     
    36620.       0.00000       0.00000      -1359.32       0.00000     
    36640.       0.00000       0.00000      -1356.53       0.00000     
    36660.       0.00000       0.00000      -1353.71       0.00000     
    36680.       0.00000       0.00000      -1350.86       0.00000     
    36700.       0.00000       0.00000      -1347.98       0.00000     
    36720.       0.00000       0.00000      -1345.06       0.00000     
    36740.       0.00000       0.00000      -1342.11       0.00000     
    36760.       0.00000       0.00000      -1339.13       0.00000     
    36780.       0.00000       0.00000      -1336.10       0.00000     
    36800.       0.00000       0.00000      -1333.04       0.00000     
    36820.       0.00000       0.00000      -1329.94       0.00000     
    36840.       0.00000       0.00000      -1326.79       0.00000     
    36860.       0.00000       0.00000      -1323.57       0.00000     
    36880.       0.00000       0.00000      -1320.26       0.00000     
    36900.       0.00000       0.00000      -1316.75       0.00000     
    36920.       0.00000       0.00000      -1312.15       0.00000     
    36940.       0.00000       0.00000      -1313.48       0.00000     
    36960.       0.00000       0.00000      -1308.36       0.00000     
    36980.       0.00000       0.00000      -1304.65       0.00000     
    37000.       0.00000       0.00000      -1301.09       0.00000     
    37020.       0.00000       0.00000      -1297.53       0.00000     
    37040.       0.00000       0.00000      -1293.96       0.00000     
    37060.       0.00000       0.00000      -1290.35       0.00000     
    37080.       0.00000       0.00000      -1286.71       0.00000     
    37100.       0.00000       0.00000      -1283.01       0.00000     
    37120.       0.00000       0.00000      -1279.27       0.00000     
    37140.       0.00000       0.00000      -1275.48       0.00000     
    37160.       0.00000       0.00000      -1271.63       0.00000     
    37180.       0.00000       0.00000      -1267.73       0.00000     
    37200.       0.00000       0.00000      -1263.77       0.00000     
    37220.       0.00000       0.00000      -1259.75       0.00000     
    37240.       0.00000       0.00000      -1255.67       0.00000     
    37260.       0.00000       0.00000      -1251.52       0.00000     
    37280.       0.00000       0.00000      -1247.31       0.00000     
    37300.       0.00000       0.00000      -1243.03       0.00000     
    37320.       0.00000       0.00000      -1238.68       0.00000     
    37340.       0.00000       0.00000      -1234.26       0.00000     
    37360.       0.00000       0.00000      -1229.76       0.00000     
    37380.       0.00000       0.00000      -1225.18       0.00000     
    37400.       0.00000       0.00000      -1220.52       0.00000     
    37420.       0.00000       0.00000      -1215.78       0.00000     
    37440.       0.00000       0.00000      -1210.95       0.00000     
    37460.       0.00000       0.00000      -1206.04       0.00000     
    37480.       0.00000       0.00000      -1201.03       0.00000     
    37500.       0.00000       0.00000      -1195.92       0.00000     
    37520.       0.00000       0.00000      -1190.72       0.00000     
    37540.       0.00000       0.00000      -1185.41       0.00000     
    37560.       0.00000       0.00000      -1180.00       0.00000     
    37580.       0.00000       0.00000      -1174.48       0.00000     
    37600.       0.00000       0.00000      -1168.84       0.00000     
    37620.       0.00000       0.00000      -1163.08       0.00000     
    37640.       0.00000       0.00000      -1157.20       0.00000     
    37660.       0.00000       0.00000      -1151.20       0.00000     
    37680.       0.00000       0.00000      -1145.06       0.00000     
    37700.       0.00000       0.00000      -1138.78       0.00000     
    37720.       0.00000       0.00000      -1132.36       0.00000     
    37740.       0.00000       0.00000      -1125.79       0.00000     
    37760.       0.00000       0.00000      -1119.06       0.00000     
    37780.       0.00000       0.00000      -1112.17       0.00000     
    37800.       0.00000       0.00000      -1105.11       0.00000     
    37820.       0.00000       0.00000      -1097.87       0.00000     
    37840.       0.00000       0.00000      -1090.45       0.00000     
    37860.       0.00000       0.00000      -1082.84       0.00000     
    37880.       0.00000       0.00000      -1075.03       0.00000     
    37900.       0.00000       0.00000      -1067.01       0.00000     
    37920.       0.00000       0.00000      -1058.76       0.00000     
    37940.       0.00000       0.00000      -1050.29       0.00000     
    37960.       0.00000       0.00000      -1041.58       0.00000     
    37980.       0.00000       0.00000      -1032.61       0.00000     
    38000.       0.00000       0.00000      -1023.38       0.00000     
