!Keysight Technologies,E4990A,MY54403861,A.04.00
!Date: Wed Mar 26 11:24:29 2025

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+9.95675000000e+005, +6.48260755293e+000, +2.29907170923e+001
+9.95787500000e+005, +6.61498631432e+000, +2.45255927560e+001
+9.95900000000e+005, +6.75400344804e+000, +2.59889102809e+001
+9.96012500000e+005, +6.89727970935e+000, +2.73874945767e+001
+9.96125000000e+005, +7.04462229194e+000, +2.87172785575e+001
+9.96237500000e+005, +7.19470627729e+000, +2.99776498866e+001
+9.96350000000e+005, +7.34633991793e+000, +3.11856218957e+001
+9.96462500000e+005, +7.50054094101e+000, +3.23563815452e+001
+9.96575000000e+005, +7.65664736682e+000, +3.34864778664e+001
+9.96687500000e+005, +7.81585350364e+000, +3.45946357739e+001
+9.96800000000e+005, +7.97860818592e+000, +3.56640383713e+001
+9.96912500000e+005, +8.14695686341e+000, +3.67118927181e+001
+9.97025000000e+005, +8.31855754436e+000, +3.77243966966e+001
+9.97137500000e+005, +8.49576422652e+000, +3.87013771754e+001
+9.97250000000e+005, +8.67703218771e+000, +3.96430962058e+001
+9.97362500000e+005, +8.86399803218e+000, +4.05548368880e+001
+9.97475000000e+005, +9.05438189784e+000, +4.14307126067e+001
+9.97587500000e+005, +9.25137590186e+000, +4.22690365971e+001
+9.97700000000e+005, +9.45418074404e+000, +4.30775393799e+001
+9.97812500000e+005, +9.66516206836e+000, +4.38411343662e+001
+9.97925000000e+005, +9.88394866423e+000, +4.45467983103e+001
+9.98037500000e+005, +1.01051560187e+001, +4.51596807242e+001
+9.98150000000e+005, +1.03224238212e+001, +4.57043045353e+001
+9.98262500000e+005, +1.05311258160e+001, +4.62326460596e+001
+9.98375000000e+005, +1.07379040110e+001, +4.67735126657e+001
+9.98487500000e+005, +1.09495340030e+001, +4.73181486502e+001
+9.98600000000e+005, +1.11653162651e+001, +4.78414483072e+001
+9.98712500000e+005, +1.13852492408e+001, +4.83489914462e+001
+9.98825000000e+005, +1.16093500532e+001, +4.88312868179e+001
+9.98937500000e+005, +1.18362683105e+001, +4.92820352292e+001
+9.99050000000e+005, +1.20656429603e+001, +4.97132024394e+001
+9.99162500000e+005, +1.22980040581e+001, +5.01144552695e+001
+9.99275000000e+005, +1.25320313506e+001, +5.04920841847e+001
+9.99387500000e+005, +1.27678587726e+001, +5.08442920448e+001
+9.99500000000e+005, +1.30028588410e+001, +5.11782506339e+001
+9.99612500000e+005, +1.32398387730e+001, +5.14960270164e+001
+9.99725000000e+005, +1.34764556089e+001, +5.17961315555e+001
+9.99837500000e+005, +1.37156195217e+001, +5.20842403302e+001
+9.99950000000e+005, +1.39537711549e+001, +5.23580917977e+001
+1.00006250000e+006, +1.41932622813e+001, +5.26275603141e+001
+1.00017500000e+006, +1.44363600414e+001, +5.28890269222e+001
+1.00028750000e+006, +1.46824636737e+001, +5.31355090050e+001
+1.00040000000e+006, +1.49324384044e+001, +5.33686542399e+001
+1.00051250000e+006, +1.51847815040e+001, +5.35857864551e+001
+1.00062500000e+006, +1.54389739474e+001, +5.37838711050e+001
+1.00073750000e+006, +1.56938857061e+001, +5.39638604772e+001
+1.00085000000e+006, +1.59512822236e+001, +5.41286292235e+001
+1.00096250000e+006, +1.62096947659e+001, +5.42805911534e+001
+1.00107500000e+006, +1.64681908286e+001, +5.44189408031e+001
+1.00118750000e+006, +1.67284135927e+001, +5.45444829650e+001
+1.00130000000e+006, +1.69908980383e+001, +5.46577805268e+001
+1.00141250000e+006, +1.72533690157e+001, +5.47620755811e+001
+1.00152500000e+006, +1.75180528981e+001, +5.48512355661e+001
+1.00163750000e+006, +1.77824471646e+001, +5.49286301349e+001
+1.00175000000e+006, +1.80500492105e+001, +5.49952421292e+001
+1.00186250000e+006, +1.83180971256e+001, +5.50450159005e+001
+1.00197500000e+006, +1.85856186000e+001, +5.50864671234e+001
+1.00208750000e+006, +1.88554112732e+001, +5.51125413450e+001
+1.00220000000e+006, +1.91242910497e+001, +5.51279260966e+001
+1.00231250000e+006, +1.93945476272e+001, +5.51281995861e+001
+1.00242500000e+006, +1.96637859627e+001, +5.51169992568e+001
+1.00253750000e+006, +1.99329666551e+001, +5.50963772173e+001
+1.00265000000e+006, +2.02010631518e+001, +5.50647412680e+001
+1.00276250000e+006, +2.04677542081e+001, +5.50216255433e+001
+1.00287500000e+006, +2.07324844131e+001, +5.49733583280e+001
+1.00298750000e+006, +2.09974733191e+001, +5.49155937685e+001
+1.00310000000e+006, +2.12610850171e+001, +5.48551091687e+001
+1.00321250000e+006, +2.15252123941e+001, +5.47849058009e+001
+1.00332500000e+006, +2.17865358739e+001, +5.47080209138e+001
+1.00343750000e+006, +2.20494522831e+001, +5.46266607460e+001
+1.00355000000e+006, +2.23125616125e+001, +5.45362350873e+001
+1.00366250000e+006, +2.25761040995e+001, +5.44400552115e+001
+1.00377500000e+006, +2.28403970243e+001, +5.43346234045e+001
+1.00388750000e+006, +2.31038912053e+001, +5.42135987183e+001
+1.00400000000e+006, +2.33676272369e+001, +5.40795591548e+001
+1.00411250000e+006, +2.36272758382e+001, +5.39316778438e+001
+1.00422500000e+006, +2.38853604752e+001, +5.37657873990e+001
+1.00433750000e+006, +2.41378102526e+001, +5.35934472441e+001
+1.00445000000e+006, +2.43847856707e+001, +5.34101242658e+001
+1.00456250000e+006, +2.46263479200e+001, +5.32217132215e+001
+1.00467500000e+006, +2.48627257066e+001, +5.30293433480e+001
+1.00478750000e+006, +2.50932901022e+001, +5.28330528939e+001
+1.00490000000e+006, +2.53196892599e+001, +5.26388519435e+001
+1.00501250000e+006, +2.55394677104e+001, +5.24398073371e+001
+1.00512500000e+006, +2.57561996316e+001, +5.22438675660e+001
+1.00523750000e+006, +2.59686949052e+001, +5.20510220330e+001
+1.00535000000e+006, +2.61807242449e+001, +5.18558032947e+001
+1.00546250000e+006, +2.63890759218e+001, +5.16597236350e+001
+1.00557500000e+006, +2.65952575398e+001, +5.14658614223e+001
+1.00568750000e+006, +2.68003348557e+001, +5.12624704506e+001
+1.00580000000e+006, +2.70042642412e+001, +5.10566196954e+001
+1.00591250000e+006, +2.72050603630e+001, +5.08449636081e+001
+1.00602500000e+006, +2.74032140026e+001, +5.06250429916e+001
+1.00613750000e+006, +2.75978535310e+001, +5.03974534573e+001
+1.00625000000e+006, +2.77883294158e+001, +5.01587085464e+001
+1.00636250000e+006, +2.79729367092e+001, +4.99155078518e+001
+1.00647500000e+006, +2.81519266693e+001, +4.96605115712e+001
+1.00658750000e+006, +2.83241788227e+001, +4.93985443540e+001
+1.00670000000e+006, +2.84894537509e+001, +4.91282040658e+001
+1.00681250000e+006, +2.86446995204e+001, +4.88554065005e+001
+1.00692500000e+006, +2.87937392847e+001, +4.85719950690e+001
+1.00703750000e+006, +2.89320791170e+001, +4.82847016229e+001
+1.00715000000e+006, +2.90619796461e+001, +4.79971334841e+001
+1.00726250000e+006, +2.91816766809e+001, +4.77053794796e+001
+1.00737500000e+006, +2.92910383530e+001, +4.74099356578e+001
+1.00748750000e+006, +2.93891377789e+001, +4.71157855089e+001
+1.00760000000e+006, +2.94783522511e+001, +4.68218310620e+001
+1.00771250000e+006, +2.95548893558e+001, +4.65270093436e+001
+1.00782500000e+006, +2.96205408480e+001, +4.62350479666e+001
+1.00793750000e+006, +2.96747666683e+001, +4.59422817798e+001
+1.00805000000e+006, +2.97163258098e+001, +4.56538087934e+001
+1.00816250000e+006, +2.97462013025e+001, +4.53714744433e+001
+1.00827500000e+006, +2.97628235299e+001, +4.50920778606e+001
+1.00838750000e+006, +2.97681821935e+001, +4.48206498741e+001
+1.00850000000e+006, +2.97598304186e+001, +4.45541596757e+001
+1.00861250000e+006, +2.97373147661e+001, +4.42970881773e+001
+1.00872500000e+006, +2.97014954603e+001, +4.40507885203e+001
+1.00883750000e+006, +2.96504743053e+001, +4.38160147238e+001
+1.00895000000e+006, +2.95855899551e+001, +4.35965239724e+001
+1.00906250000e+006, +2.95060585474e+001, +4.33948452823e+001
+1.00917500000e+006, +2.94115306434e+001, +4.32139017828e+001
+1.00928750000e+006, +2.93033469597e+001, +4.30540175671e+001
+1.00940000000e+006, +2.91833165282e+001, +4.29224924738e+001
+1.00951250000e+006, +2.90520606636e+001, +4.28214870554e+001
+1.00962500000e+006, +2.89099263626e+001, +4.27530925198e+001
+1.00973750000e+006, +2.87598800288e+001, +4.27130331794e+001
+1.00985000000e+006, +2.86017278384e+001, +4.27117864336e+001
+1.00996250000e+006, +2.84361865655e+001, +4.27446812500e+001
+1.01007500000e+006, +2.82662920630e+001, +4.28206243678e+001
+1.01018750000e+006, +2.80934990039e+001, +4.29321537465e+001
+1.01030000000e+006, +2.79205949446e+001, +4.30852550291e+001
+1.01041250000e+006, +2.77471846647e+001, +4.32783581586e+001
+1.01052500000e+006, +2.75725854277e+001, +4.35110928612e+001
+1.01063750000e+006, +2.73991608335e+001, +4.37881590783e+001
+1.01075000000e+006, +2.72300079706e+001, +4.41199891450e+001
+1.01086250000e+006, +2.70728523532e+001, +4.45220179204e+001
+1.01097500000e+006, +2.69556077025e+001, +4.49519021867e+001
+1.01108750000e+006, +2.68471271666e+001, +4.53231421801e+001
+1.01120000000e+006, +2.67138509754e+001, +4.57293129375e+001
+1.01131250000e+006, +2.65851321475e+001, +4.61937923223e+001
+1.01142500000e+006, +2.64689242409e+001, +4.67037541998e+001
+1.01153750000e+006, +2.63645285287e+001, +4.72474503248e+001
+1.01165000000e+006, +2.62774026304e+001, +4.78170961189e+001
+1.01176250000e+006, +2.62002032851e+001, +4.84145661015e+001
+1.01187500000e+006, +2.61359451094e+001, +4.90345768500e+001
+1.01198750000e+006, +2.60866573203e+001, +4.96780580337e+001
+1.01210000000e+006, +2.60536168581e+001, +5.03444964885e+001
+1.01221250000e+006, +2.60392055597e+001, +5.10228607847e+001
+1.01232500000e+006, +2.60385380237e+001, +5.17052638706e+001
+1.01243750000e+006, +2.60476590922e+001, +5.23943729896e+001
+1.01255000000e+006, +2.60724147058e+001, +5.31037289246e+001
+1.01266250000e+006, +2.61140544170e+001, +5.38225647268e+001
+1.01277500000e+006, +2.61702670742e+001, +5.45423442313e+001
+1.01288750000e+006, +2.62427205123e+001, +5.52649245388e+001
+1.01300000000e+006, +2.63310317466e+001, +5.59880584771e+001
+1.01311250000e+006, +2.64370857876e+001, +5.67129521829e+001
+1.01322500000e+006, +2.65577728593e+001, +5.74305138854e+001
+1.01333750000e+006, +2.66946939006e+001, +5.81369332729e+001
+1.01345000000e+006, +2.68473305877e+001, +5.88377615545e+001
+1.01356250000e+006, +2.70152387933e+001, +5.95221380951e+001
+1.01367500000e+006, +2.71983540570e+001, +6.01953059959e+001
+1.01378750000e+006, +2.73951563613e+001, +6.08516049985e+001
+1.01390000000e+006, +2.76072944517e+001, +6.14897580111e+001
+1.01401250000e+006, +2.78349333807e+001, +6.21098541770e+001
+1.01412500000e+006, +2.80756020149e+001, +6.27041820407e+001
+1.01423750000e+006, +2.83332235985e+001, +6.32720310697e+001
+1.01435000000e+006, +2.86030087250e+001, +6.38043606816e+001
+1.01446250000e+006, +2.88828093082e+001, +6.42923188479e+001
+1.01457500000e+006, +2.91662561762e+001, +6.47362059602e+001
+1.01468750000e+006, +2.94447418942e+001, +6.51431640076e+001
+1.01480000000e+006, +2.97155640142e+001, +6.55218959325e+001
+1.01491250000e+006, +2.99786658925e+001, +6.58855941809e+001
+1.01502500000e+006, +3.02367315215e+001, +6.62355583924e+001
+1.01513750000e+006, +3.04865264485e+001, +6.65710379811e+001
+1.01525000000e+006, +3.07234549046e+001, +6.69026926524e+001
+1.01536250000e+006, +3.09444432166e+001, +6.72478049571e+001
+1.01547500000e+006, +3.11604836100e+001, +6.76349833066e+001
+1.01558750000e+006, +3.13924185119e+001, +6.80542196829e+001
+1.01570000000e+006, +3.16469377456e+001, +6.84811314382e+001
+1.01581250000e+006, +3.19186121829e+001, +6.88992224239e+001
+1.01592500000e+006, +3.22042281136e+001, +6.92974686112e+001
+1.01603750000e+006, +3.25005733370e+001, +6.96750700816e+001
+1.01615000000e+006, +3.28038105055e+001, +7.00330715174e+001
+1.01626250000e+006, +3.31097537772e+001, +7.03659426150e+001
+1.01637500000e+006, +3.34160665913e+001, +7.06821207926e+001
+1.01648750000e+006, +3.37170787399e+001, +7.09806961390e+001
+1.01660000000e+006, +3.40097746658e+001, +7.12781727938e+001
+1.01671250000e+006, +3.43015833955e+001, +7.15798182148e+001
+1.01682500000e+006, +3.45946037865e+001, +7.18929313907e+001
+1.01693750000e+006, +3.48925473065e+001, +7.22163247159e+001
+1.01705000000e+006, +3.52033209312e+001, +7.25472338077e+001
+1.01716250000e+006, +3.55303600994e+001, +7.28821780733e+001
+1.01727500000e+006, +3.58803208777e+001, +7.31961563567e+001
+1.01738750000e+006, +3.62396346051e+001, +7.34743507893e+001
+1.01750000000e+006, +3.65927063219e+001, +7.37340283944e+001
+1.01761250000e+006, +3.69445369435e+001, +7.39885565951e+001
+1.01772500000e+006, +3.73009339000e+001, +7.42387061108e+001
+1.01783750000e+006, +3.76624234744e+001, +7.44764553322e+001
+1.01795000000e+006, +3.80278706650e+001, +7.47068515282e+001
+1.01806250000e+006, +3.83974231230e+001, +7.49270378105e+001
+1.01817500000e+006, +3.87699048333e+001, +7.51359798175e+001
+1.01828750000e+006, +3.91454325317e+001, +7.53343902175e+001
+1.01840000000e+006, +3.95249169535e+001, +7.55240028200e+001
+1.01851250000e+006, +3.99035232315e+001, +7.57006394766e+001
+1.01862500000e+006, +4.02828305039e+001, +7.58749967043e+001
+1.01873750000e+006, +4.06620879355e+001, +7.60380048977e+001
+1.01885000000e+006, +4.10456681925e+001, +7.61937040371e+001
+1.01896250000e+006, +4.14279979875e+001, +7.63408228328e+001
+1.01907500000e+006, +4.18107074169e+001, +7.64823161167e+001
+1.01918750000e+006, +4.21915271554e+001, +7.66177835815e+001
+1.01930000000e+006, +4.25708522318e+001, +7.67457437244e+001
+1.01941250000e+006, +4.29492622511e+001, +7.68718975912e+001
+1.01952500000e+006, +4.33280577534e+001, +7.69935650161e+001
+1.01963750000e+006, +4.37054875084e+001, +7.71151793116e+001
+1.01975000000e+006, +4.40817577077e+001, +7.72316777773e+001
+1.01986250000e+006, +4.44571605689e+001, +7.73455369379e+001
+1.01997500000e+006, +4.48345724729e+001, +7.74607970463e+001
+1.02008750000e+006, +4.52103524148e+001, +7.75739777546e+001
+1.02020000000e+006, +4.55875746183e+001, +7.76854600515e+001
+1.02031250000e+006, +4.59657857901e+001, +7.77978034922e+001
+1.02042500000e+006, +4.63437302733e+001, +7.79090406666e+001
+1.02053750000e+006, +4.67217208159e+001, +7.80204404655e+001
+1.02065000000e+006, +4.71018731404e+001, +7.81325729081e+001
+1.02076250000e+006, +4.74850332008e+001, +7.82438433469e+001
+1.02087500000e+006, +4.78689949318e+001, +7.83581422938e+001
+1.02098750000e+006, +4.82568965657e+001, +7.84688294159e+001
+1.02110000000e+006, +4.86456052961e+001, +7.85833939324e+001
+1.02121250000e+006, +4.90380469640e+001, +7.86962981165e+001
+1.02132500000e+006, +4.94348371871e+001, +7.88087953491e+001
+1.02143750000e+006, +4.98341571124e+001, +7.89214818244e+001
+1.02155000000e+006, +5.02373641390e+001, +7.90319288769e+001
+1.02166250000e+006, +5.06453914871e+001, +7.91402012000e+001
+1.02177500000e+006, +5.10577627325e+001, +7.92513577838e+001
+1.02188750000e+006, +5.14711466348e+001, +7.93581408078e+001
+1.02200000000e+006, +5.18908748141e+001, +7.94642386855e+001
+1.02211250000e+006, +5.23117803954e+001, +7.95659080425e+001
+1.02222500000e+006, +5.27391068415e+001, +7.96720015087e+001
+1.02233750000e+006, +5.31746459676e+001, +7.97746021733e+001
+1.02245000000e+006, +5.36125812305e+001, +7.98749193192e+001
+1.02256250000e+006, +5.40565738859e+001, +7.99706511114e+001
+1.02267500000e+006, +5.45044326239e+001, +8.00632972099e+001
+1.02278750000e+006, +5.49572301465e+001, +8.01514498526e+001
+1.02290000000e+006, +5.54130067941e+001, +8.02366831320e+001
+1.02301250000e+006, +5.58728261241e+001, +8.03188420986e+001
+1.02312500000e+006, +5.63364961623e+001, +8.03982593281e+001
+1.02323750000e+006, +5.68031304888e+001, +8.04735100315e+001
+1.02335000000e+006, +5.72738176178e+001, +8.05453993970e+001
+1.02346250000e+006, +5.77481064218e+001, +8.06156609218e+001
+1.02357500000e+006, +5.82246467653e+001, +8.06808175494e+001
+1.02368750000e+006, +5.87038772046e+001, +8.07438127375e+001
+1.02380000000e+006, +5.91856061995e+001, +8.08021921001e+001
+1.02391250000e+006, +5.96703481872e+001, +8.08584134406e+001
+1.02402500000e+006, +6.01568462124e+001, +8.09113851047e+001
+1.02413750000e+006, +6.06445894329e+001, +8.09620603406e+001
+1.02425000000e+006, +6.11339446658e+001, +8.10126248637e+001
+1.02436250000e+006, +6.16254844808e+001, +8.10611751550e+001
+1.02447500000e+006, +6.21208744126e+001, +8.11084491361e+001
+1.02458750000e+006, +6.26184817783e+001, +8.11546598115e+001
+1.02470000000e+006, +6.31199444788e+001, +8.12006362968e+001
+1.02481250000e+006, +6.36239545190e+001, +8.12438139757e+001
+1.02492500000e+006, +6.41301989478e+001, +8.12851332809e+001
+1.02503750000e+006, +6.46414805612e+001, +8.13270832069e+001
+1.02515000000e+006, +6.51563702298e+001, +8.13673200529e+001
+1.02526250000e+006, +6.56759096524e+001, +8.14051270315e+001
+1.02537500000e+006, +6.61984231827e+001, +8.14412296910e+001
+1.02548750000e+006, +6.67243208468e+001, +8.14753638484e+001
+1.02560000000e+006, +6.72522958665e+001, +8.15070937820e+001
+1.02571250000e+006, +6.77854267359e+001, +8.15373320637e+001
+1.02582500000e+006, +6.83200664353e+001, +8.15658672766e+001
+1.02593750000e+006, +6.88572293385e+001, +8.15930669551e+001
+1.02605000000e+006, +6.93992855534e+001, +8.16194102256e+001
+1.02616250000e+006, +6.99419710075e+001, +8.16449846006e+001
+1.02627500000e+006, +7.04906081347e+001, +8.16707200150e+001
+1.02638750000e+006, +7.10428159733e+001, +8.16949338315e+001
+1.02650000000e+006, +7.15988429855e+001, +8.17203374867e+001
+1.02661250000e+006, +7.21650278381e+001, +8.17425340540e+001
+1.02672500000e+006, +7.27310520788e+001, +8.17634662663e+001
+1.02683750000e+006, +7.33034271290e+001, +8.17800216307e+001
+1.02695000000e+006, +7.38765646969e+001, +8.17971096678e+001
+1.02706250000e+006, +7.44560085016e+001, +8.18106963537e+001
+1.02717500000e+006, +7.50381534162e+001, +8.18238648080e+001
+1.02728750000e+006, +7.56235669285e+001, +8.18368203831e+001
+1.02740000000e+006, +7.62140131998e+001, +8.18490231817e+001
+1.02751250000e+006, +7.68100494940e+001, +8.18597736214e+001
+1.02762500000e+006, +7.74107129593e+001, +8.18696743418e+001
+1.02773750000e+006, +7.80168953987e+001, +8.18792465605e+001
+1.02785000000e+006, +7.86293984171e+001, +8.18857011803e+001
+1.02796250000e+006, +7.92454013799e+001, +8.18908596469e+001
+1.02807500000e+006, +7.98653484016e+001, +8.18939343735e+001
+1.02818750000e+006, +8.04916444509e+001, +8.18961764177e+001
+1.02830000000e+006, +8.11242728219e+001, +8.18959977559e+001
+1.02841250000e+006, +8.17603611807e+001, +8.18927714954e+001
+1.02852500000e+006, +8.24003924914e+001, +8.18905604970e+001
+1.02863750000e+006, +8.30437722132e+001, +8.18848075126e+001
+1.02875000000e+006, +8.36951107790e+001, +8.18787739403e+001
+1.02886250000e+006, +8.43498597689e+001, +8.18710836451e+001
+1.02897500000e+006, +8.50104419040e+001, +8.18617704839e+001
+1.02908750000e+006, +8.56765649156e+001, +8.18498465526e+001
+1.02920000000e+006, +8.63472526129e+001, +8.18365744996e+001
+1.02931250000e+006, +8.70243621254e+001, +8.18220603329e+001
+1.02942500000e+006, +8.77021453406e+001, +8.18062808318e+001
+1.02953750000e+006, +8.83908176893e+001, +8.17889387165e+001
+1.02965000000e+006, +8.90829999611e+001, +8.17685096328e+001
+1.02976250000e+006, +8.97795953251e+001, +8.17500653712e+001
+1.02987500000e+006, +9.04797391961e+001, +8.17272878037e+001
+1.02998750000e+006, +9.11861889500e+001, +8.17029625798e+001
+1.03010000000e+006, +9.18992727554e+001, +8.16776396538e+001
+1.03021250000e+006, +9.26154226576e+001, +8.16503968197e+001
+1.03032500000e+006, +9.33386142659e+001, +8.16212876191e+001
+1.03043750000e+006, +9.40680480614e+001, +8.15922370094e+001
+1.03055000000e+006, +9.47976937660e+001, +8.15592505498e+001
+1.03066250000e+006, +9.55396698424e+001, +8.15264733405e+001
+1.03077500000e+006, +9.62826858847e+001, +8.14936984573e+001
+1.03088750000e+006, +9.70312076072e+001, +8.14577577172e+001
+1.03100000000e+006, +9.77838544847e+001, +8.14218957287e+001
+1.03111250000e+006, +9.85443142874e+001, +8.13830403922e+001
+1.03122500000e+006, +9.93091558956e+001, +8.13465058288e+001
+1.03133750000e+006, +1.00078723234e+002, +8.13071261326e+001
+1.03145000000e+006, +1.00856100031e+002, +8.12676668106e+001
+1.03156250000e+006, +1.01639120984e+002, +8.12263374664e+001
+1.03167500000e+006, +1.02430249420e+002, +8.11860908477e+001
+1.03178750000e+006, +1.03224408294e+002, +8.11434335139e+001
+1.03190000000e+006, +1.04030082146e+002, +8.11023141209e+001
+1.03201250000e+006, +1.04840558905e+002, +8.10576133381e+001
+1.03212500000e+006, +1.05658383098e+002, +8.10153836916e+001
+1.03223750000e+006, +1.06482951269e+002, +8.09696247587e+001
+1.03235000000e+006, +1.07317320699e+002, +8.09243298960e+001
+1.03246250000e+006, +1.08154936701e+002, +8.08775760681e+001
+1.03257500000e+006, +1.09005435177e+002, +8.08311880199e+001
+1.03268750000e+006, +1.09861422223e+002, +8.07860410376e+001
+1.03280000000e+006, +1.10729147164e+002, +8.07402678803e+001
+1.03291250000e+006, +1.11605015688e+002, +8.06957542831e+001
+1.03302500000e+006, +1.12497574099e+002, +8.06508399067e+001
+1.03313750000e+006, +1.13403163446e+002, +8.06041324149e+001
+1.03325000000e+006, +1.14324026769e+002, +8.05537993613e+001
+1.03336250000e+006, +1.15260781604e+002, +8.05011439562e+001
+1.03347500000e+006, +1.16207761651e+002, +8.04448514899e+001
+1.03358750000e+006, +1.17164279831e+002, +8.03847366670e+001
+1.03370000000e+006, +1.18130581891e+002, +8.03213444721e+001
+1.03381250000e+006, +1.19105893540e+002, +8.02559390164e+001
+1.03392500000e+006, +1.20090367686e+002, +8.01889912429e+001
+1.03403750000e+006, +1.21086796506e+002, +8.01173111383e+001
+1.03415000000e+006, +1.22095039421e+002, +8.00472463032e+001
+1.03426250000e+006, +1.23108324218e+002, +7.99728849064e+001
+1.03437500000e+006, +1.24144269354e+002, +7.98982731053e+001
+1.03448750000e+006, +1.25189715676e+002, +7.98178591092e+001
+1.03460000000e+006, +1.26241369216e+002, +7.97379225601e+001
+1.03471250000e+006, +1.27312623242e+002, +7.96518860812e+001
+1.03482500000e+006, +1.28394176699e+002, +7.95635221653e+001
+1.03493750000e+006, +1.29488212961e+002, +7.94760790368e+001
+1.03505000000e+006, +1.30598267498e+002, +7.93792340694e+001
+1.03516250000e+006, +1.31710531638e+002, +7.92815953892e+001
+1.03527500000e+006, +1.32840529180e+002, +7.91827612651e+001
+1.03538750000e+006, +1.33981298411e+002, +7.90794665189e+001
+1.03550000000e+006, +1.35128524536e+002, +7.89739100932e+001
+1.03561250000e+006, +1.36297619568e+002, +7.88637902960e+001
+1.03572500000e+006, +1.37470029749e+002, +7.87515008717e+001
+1.03583750000e+006, +1.38656562423e+002, +7.86365146801e+001
+1.03595000000e+006, +1.39855651140e+002, +7.85169119717e+001
+1.03606250000e+006, +1.41064018504e+002, +7.83970208882e+001
+1.03617500000e+006, +1.42286771185e+002, +7.82757082236e+001
+1.03628750000e+006, +1.43516656822e+002, +7.81521988029e+001
+1.03640000000e+006, +1.44770039074e+002, +7.80240567615e+001
+1.03651250000e+006, +1.46025466690e+002, +7.78976610995e+001
+1.03662500000e+006, +1.47304063181e+002, +7.77662241070e+001
+1.03673750000e+006, +1.48596577043e+002, +7.76344251922e+001
+1.03685000000e+006, +1.49905373580e+002, +7.74997483622e+001
+1.03696250000e+006, +1.51226491406e+002, +7.73625118457e+001
+1.03707500000e+006, +1.52568445532e+002, +7.72236665392e+001
+1.03718750000e+006, +1.53921894856e+002, +7.70833835981e+001
+1.03730000000e+006, +1.55299629904e+002, +7.69407034216e+001
+1.03741250000e+006, +1.56699965574e+002, +7.67944491992e+001
+1.03752500000e+006, +1.58112125981e+002, +7.66469882207e+001
+1.03763750000e+006, +1.59554516794e+002, +7.64936393838e+001
+1.03775000000e+006, +1.61011705436e+002, +7.63411780658e+001
+1.03786250000e+006, +1.62491907261e+002, +7.61812564653e+001
+1.03797500000e+006, +1.63997731417e+002, +7.60198031810e+001
+1.03808750000e+006, +1.65521288674e+002, +7.58566558391e+001
+1.03820000000e+006, +1.67070274548e+002, +7.56892167069e+001
+1.03831250000e+006, +1.68645485585e+002, +7.55158320271e+001
+1.03842500000e+006, +1.70238683863e+002, +7.53413830205e+001
+1.03853750000e+006, +1.71858261585e+002, +7.51602070061e+001
+1.03865000000e+006, +1.73503774606e+002, +7.49754022331e+001
+1.03876250000e+006, +1.75180335982e+002, +7.47869806978e+001
+1.03887500000e+006, +1.76880801504e+002, +7.45959679523e+001
+1.03898750000e+006, +1.78602278085e+002, +7.43981361041e+001
+1.03910000000e+006, +1.80365807034e+002, +7.41991746501e+001
+1.03921250000e+006, +1.82158199724e+002, +7.39948689500e+001
+1.03932500000e+006, +1.83969946782e+002, +7.37852066376e+001
+1.03943750000e+006, +1.85838325259e+002, +7.35706866360e+001
+1.03955000000e+006, +1.87726619740e+002, +7.33483404835e+001
+1.03966250000e+006, +1.89649474626e+002, +7.31208941392e+001
+1.03977500000e+006, +1.91612833330e+002, +7.28855779943e+001
+1.03988750000e+006, +1.93609384662e+002, +7.26459791936e+001
+1.04000000000e+006, +1.95642179484e+002, +7.23991805076e+001
+1.04011250000e+006, +1.97717934160e+002, +7.21424355098e+001
+1.04022500000e+006, +1.99832388866e+002, +7.18798313686e+001
+1.04033750000e+006, +2.01977655926e+002, +7.16085525266e+001
+1.04045000000e+006, +2.04171744023e+002, +7.13327198948e+001
+1.04056250000e+006, +2.06404983648e+002, +7.10455879354e+001
+1.04067500000e+006, +2.08683680311e+002, +7.07531595397e+001
+1.04078750000e+006, +2.11009144200e+002, +7.04480022889e+001
+1.04090000000e+006, +2.13381720987e+002, +7.01313079542e+001
+1.04101250000e+006, +2.15792539804e+002, +6.98103111224e+001
+1.04112500000e+006, +2.18256722831e+002, +6.94740547185e+001
+1.04123750000e+006, +2.20765680406e+002, +6.91300149495e+001
+1.04135000000e+006, +2.23320707788e+002, +6.87754615029e+001
+1.04146250000e+006, +2.25941534058e+002, +6.84061340853e+001
+1.04157500000e+006, +2.28608535213e+002, +6.80272209756e+001
+1.04168750000e+006, +2.31344020568e+002, +6.76340660222e+001
+1.04180000000e+006, +2.34101479088e+002, +6.72264284102e+001
+1.04191250000e+006, +2.36932397400e+002, +6.68032227566e+001
+1.04202500000e+006, +2.39819134902e+002, +6.63652530197e+001
+1.04213750000e+006, +2.42746343087e+002, +6.59128698789e+001
+1.04225000000e+006, +2.45741197482e+002, +6.54458410099e+001
+1.04236250000e+006, +2.48788682594e+002, +6.49603530551e+001
+1.04247500000e+006, +2.51897310467e+002, +6.44582803556e+001
+1.04258750000e+006, +2.55063685290e+002, +6.39402780400e+001
+1.04270000000e+006, +2.58285986386e+002, +6.34001545507e+001
+1.04281250000e+006, +2.61564426141e+002, +6.28474505214e+001
+1.04292500000e+006, +2.64921873644e+002, +6.22657110353e+001
