!Keysight Technologies,E4990A,MY54403861,A.04.00
!Date: Wed Mar 26 11:24:29 2025

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+9.60575000000e+005, +4.92103976497e+001, -8.03130962923e+001
+9.60687500000e+005, +4.91089514570e+001, -8.03804558325e+001
+9.60800000000e+005, +4.90083125967e+001, -8.04449053172e+001
+9.60912500000e+005, +4.89128466678e+001, -8.05121208034e+001
+9.61025000000e+005, +4.88139115658e+001, -8.05856826379e+001
+9.61137500000e+005, +4.87101273943e+001, -8.06626701868e+001
+9.61250000000e+005, +4.86026583425e+001, -8.07402139681e+001
+9.61362500000e+005, +4.84932405216e+001, -8.08187808154e+001
+9.61475000000e+005, +4.83788977527e+001, -8.08988381073e+001
+9.61587500000e+005, +4.82624844551e+001, -8.09777333871e+001
+9.61700000000e+005, +4.81426201697e+001, -8.10572477296e+001
+9.61812500000e+005, +4.80207000562e+001, -8.11361428323e+001
+9.61925000000e+005, +4.78944659202e+001, -8.12141945127e+001
+9.62037500000e+005, +4.77661160302e+001, -8.12929284018e+001
+9.62150000000e+005, +4.76336860557e+001, -8.13683290803e+001
+9.62262500000e+005, +4.74996000715e+001, -8.14425745638e+001
+9.62375000000e+005, +4.73635657067e+001, -8.15159873835e+001
+9.62487500000e+005, +4.72273499322e+001, -8.15860316031e+001
+9.62600000000e+005, +4.70888032431e+001, -8.16569170636e+001
+9.62712500000e+005, +4.69476460418e+001, -8.17263466428e+001
+9.62825000000e+005, +4.68040819511e+001, -8.17931556459e+001
+9.62937500000e+005, +4.66591577481e+001, -8.18590087967e+001
+9.63050000000e+005, +4.65153906459e+001, -8.19213397434e+001
+9.63162500000e+005, +4.63698578899e+001, -8.19823070493e+001
+9.63275000000e+005, +4.62243804138e+001, -8.20435617654e+001
+9.63387500000e+005, +4.60779967422e+001, -8.21033924682e+001
+9.63500000000e+005, +4.59285195683e+001, -8.21639396718e+001
+9.63612500000e+005, +4.57780598447e+001, -8.22218392930e+001
+9.63725000000e+005, +4.56283937905e+001, -8.22779460321e+001
+9.63837500000e+005, +4.54764400631e+001, -8.23330780077e+001
+9.63950000000e+005, +4.53247227237e+001, -8.23865578482e+001
+9.64062500000e+005, +4.51702582146e+001, -8.24388687028e+001
+9.64175000000e+005, +4.50166498375e+001, -8.24901737091e+001
+9.64287500000e+005, +4.48628241007e+001, -8.25390348803e+001
+9.64400000000e+005, +4.47061918770e+001, -8.25865743446e+001
+9.64512500000e+005, +4.45500320619e+001, -8.26334396582e+001
+9.64625000000e+005, +4.43937213318e+001, -8.26785789926e+001
+9.64737500000e+005, +4.42361226557e+001, -8.27228045536e+001
+9.64850000000e+005, +4.40789884979e+001, -8.27653352131e+001
+9.64962500000e+005, +4.39210732686e+001, -8.28061241298e+001
+9.65075000000e+005, +4.37626692855e+001, -8.28458289352e+001
+9.65187500000e+005, +4.36036236070e+001, -8.28843692913e+001
+9.65300000000e+005, +4.34443569386e+001, -8.29198296235e+001
+9.65412500000e+005, +4.32834321279e+001, -8.29532519088e+001
+9.65525000000e+005, +4.31237979001e+001, -8.29887107741e+001
+9.65637500000e+005, +4.29618407438e+001, -8.30193164307e+001
+9.65750000000e+005, +4.28013632239e+001, -8.30492656662e+001
+9.65862500000e+005, +4.26385186042e+001, -8.30764464941e+001
+9.65975000000e+005, +4.24766389823e+001, -8.31016547302e+001
+9.66087500000e+005, +4.23156050567e+001, -8.31254702400e+001
+9.66200000000e+005, +4.21524601173e+001, -8.31447638700e+001
+9.66312500000e+005, +4.19908778714e+001, -8.31620316779e+001
+9.66425000000e+005, +4.18310658954e+001, -8.31750652956e+001
+9.66537500000e+005, +4.16704413407e+001, -8.31872866765e+001
+9.66650000000e+005, +4.15139281392e+001, -8.31960804344e+001
+9.66762500000e+005, +4.13567322434e+001, -8.32014355889e+001
+9.66875000000e+005, +4.12051072139e+001, -8.32072489231e+001
+9.66987500000e+005, +4.10549171432e+001, -8.32126548324e+001
+9.67100000000e+005, +4.09084573446e+001, -8.32191666858e+001
+9.67212500000e+005, +4.07622799008e+001, -8.32278947371e+001
+9.67325000000e+005, +4.06182483143e+001, -8.32416817335e+001
+9.67437500000e+005, +4.04735543764e+001, -8.32567287840e+001
+9.67550000000e+005, +4.03280985838e+001, -8.32748607932e+001
+9.67662500000e+005, +4.01813330381e+001, -8.32944418150e+001
+9.67775000000e+005, +4.00330591905e+001, -8.33159798565e+001
+9.67887500000e+005, +3.98844337003e+001, -8.33370613507e+001
+9.68000000000e+005, +3.97330693256e+001, -8.33583337475e+001
+9.68112500000e+005, +3.95814529149e+001, -8.33784941709e+001
+9.68225000000e+005, +3.94278214686e+001, -8.33985044364e+001
+9.68337500000e+005, +3.92733976905e+001, -8.34162701436e+001
+9.68450000000e+005, +3.91188069903e+001, -8.34326787018e+001
+9.68562500000e+005, +3.89634873258e+001, -8.34474317790e+001
+9.68675000000e+005, +3.88084520963e+001, -8.34632934498e+001
+9.68787500000e+005, +3.86524473786e+001, -8.34743173683e+001
+9.68900000000e+005, +3.84972286481e+001, -8.34851249583e+001
+9.69012500000e+005, +3.83417879868e+001, -8.34964912217e+001
+9.69125000000e+005, +3.81863717310e+001, -8.35049225373e+001
+9.69237500000e+005, +3.80313222857e+001, -8.35130164410e+001
+9.69350000000e+005, +3.78771086005e+001, -8.35197496335e+001
+9.69462500000e+005, +3.77219545115e+001, -8.35276712124e+001
+9.69575000000e+005, +3.75676390424e+001, -8.35335865989e+001
+9.69687500000e+005, +3.74132929239e+001, -8.35388667271e+001
+9.69800000000e+005, +3.72592423841e+001, -8.35429005597e+001
+9.69912500000e+005, +3.71045286647e+001, -8.35486651693e+001
+9.70025000000e+005, +3.69504161123e+001, -8.35530145503e+001
+9.70137500000e+005, +3.67952047037e+001, -8.35565800731e+001
+9.70250000000e+005, +3.66404638725e+001, -8.35589299913e+001
+9.70362500000e+005, +3.64851043827e+001, -8.35608780941e+001
+9.70475000000e+005, +3.63305760836e+001, -8.35630448316e+001
+9.70587500000e+005, +3.61760614353e+001, -8.35606485500e+001
+9.70700000000e+005, +3.60215713446e+001, -8.35630245761e+001
+9.70812500000e+005, +3.58673758575e+001, -8.35611511823e+001
+9.70925000000e+005, +3.57123469177e+001, -8.35625325493e+001
+9.71037500000e+005, +3.55576818048e+001, -8.35607171884e+001
+9.71150000000e+005, +3.54018004844e+001, -8.35573639863e+001
+9.71262500000e+005, +3.52461289036e+001, -8.35547833166e+001
+9.71375000000e+005, +3.50912466151e+001, -8.35485639725e+001
+9.71487500000e+005, +3.49375849907e+001, -8.35426066967e+001
+9.71600000000e+005, +3.47843819183e+001, -8.35377802365e+001
+9.71712500000e+005, +3.46292374542e+001, -8.35327328306e+001
+9.71825000000e+005, +3.44743914251e+001, -8.35289596637e+001
+9.71937500000e+005, +3.43191040985e+001, -8.35228944446e+001
+9.72050000000e+005, +3.41635170308e+001, -8.35155572315e+001
+9.72162500000e+005, +3.40082754465e+001, -8.35063538555e+001
+9.72275000000e+005, +3.38524590675e+001, -8.34973555744e+001
+9.72387500000e+005, +3.36965477344e+001, -8.34874449461e+001
+9.72500000000e+005, +3.35409844068e+001, -8.34751084271e+001
+9.72612500000e+005, +3.33849844870e+001, -8.34642859894e+001
+9.72725000000e+005, +3.32285656589e+001, -8.34515313435e+001
+9.72837500000e+005, +3.30726427410e+001, -8.34338908618e+001
+9.72950000000e+005, +3.29188886085e+001, -8.34187129512e+001
+9.73062500000e+005, +3.27638895713e+001, -8.34002427140e+001
+9.73175000000e+005, +3.26091571392e+001, -8.33832412140e+001
+9.73287500000e+005, +3.24559653041e+001, -8.33646652478e+001
+9.73400000000e+005, +3.23011663233e+001, -8.33463373429e+001
+9.73512500000e+005, +3.21472730666e+001, -8.33272090021e+001
+9.73625000000e+005, +3.19937977960e+001, -8.33079812224e+001
+9.73737500000e+005, +3.18399904486e+001, -8.32855004469e+001
+9.73850000000e+005, +3.16864367833e+001, -8.32653008916e+001
+9.73962500000e+005, +3.15331587957e+001, -8.32436148099e+001
+9.74075000000e+005, +3.13804408665e+001, -8.32209402893e+001
+9.74187500000e+005, +3.12280488817e+001, -8.31989753469e+001
+9.74300000000e+005, +3.10748868434e+001, -8.31751616270e+001
+9.74412500000e+005, +3.09218890006e+001, -8.31517248187e+001
+9.74525000000e+005, +3.07698520501e+001, -8.31285119575e+001
+9.74637500000e+005, +3.06162255377e+001, -8.31065197743e+001
+9.74750000000e+005, +3.04641154535e+001, -8.30816063931e+001
+9.74862500000e+005, +3.03111878166e+001, -8.30575944838e+001
+9.74975000000e+005, +3.01585666056e+001, -8.30300451189e+001
