Frequency (Hz)	Amplitude (m)	Phase Angle (deg)	Real (m)	Imaginary (m)
23900	6.9398e-010	0.	6.9398e-010	0.
24000	6.6869e-010	0.	6.6869e-010	0.
24100	6.4558e-010	0.	6.4558e-010	0.
24200	6.2438e-010	0.	6.2438e-010	0.
24300	6.0488e-010	0.	6.0488e-010	0.
24400	5.8689e-010	0.	5.8689e-010	0.
24500	5.7026e-010	0.	5.7026e-010	0.
24600	5.5484e-010	0.	5.5484e-010	0.
24700	5.4051e-010	0.	5.4051e-010	0.
24800	5.2718e-010	0.	5.2718e-010	0.
24900	5.1475e-010	0.	5.1475e-010	0.
25000	5.0314e-010	0.	5.0314e-010	0.
25100	4.9228e-010	0.	4.9228e-010	0.
25200	4.821e-010	0.	4.821e-010	0.
25300	4.7256e-010	0.	4.7256e-010	0.
25400	4.636e-010	0.	4.636e-010	0.
25500	4.5518e-010	0.	4.5518e-010	0.
25600	4.4726e-010	0.	4.4726e-010	0.
25700	4.398e-010	0.	4.398e-010	0.
25800	4.3277e-010	0.	4.3277e-010	0.
25900	4.2614e-010	0.	4.2614e-010	0.
26000	4.1989e-010	0.	4.1989e-010	0.
26100	4.1399e-010	0.	4.1399e-010	0.
26200	4.0842e-010	0.	4.0842e-010	0.
26300	4.0316e-010	0.	4.0316e-010	0.
26400	3.9819e-010	0.	3.9819e-010	0.
26500	3.9349e-010	0.	3.9349e-010	0.
26600	3.8906e-010	0.	3.8906e-010	0.
26700	3.8487e-010	0.	3.8487e-010	0.
26800	3.8091e-010	0.	3.8091e-010	0.
26900	3.7718e-010	0.	3.7718e-010	0.
27000	3.7366e-010	0.	3.7366e-010	0.
27100	3.7034e-010	0.	3.7034e-010	0.
27200	3.6721e-010	0.	3.6721e-010	0.
27300	3.6426e-010	0.	3.6426e-010	0.
27400	3.615e-010	0.	3.615e-010	0.
27500	3.589e-010	0.	3.589e-010	0.
27600	3.5646e-010	0.	3.5646e-010	0.
27700	3.5418e-010	0.	3.5418e-010	0.
27800	3.5205e-010	0.	3.5205e-010	0.
27900	3.5006e-010	0.	3.5006e-010	0.
28000	3.4822e-010	0.	3.4822e-010	0.
28100	3.4651e-010	0.	3.4651e-010	0.
28200	3.4493e-010	0.	3.4493e-010	0.
28300	3.4349e-010	0.	3.4349e-010	0.
28400	3.4216e-010	0.	3.4216e-010	0.
28500	3.4096e-010	0.	3.4096e-010	0.
28600	3.3988e-010	0.	3.3988e-010	0.
28700	3.3892e-010	0.	3.3892e-010	0.
28800	3.3806e-010	0.	3.3806e-010	0.
28900	3.3732e-010	0.	3.3732e-010	0.
29000	3.3669e-010	0.	3.3669e-010	0.
29100	3.3617e-010	0.	3.3617e-010	0.
29200	3.3574e-010	0.	3.3574e-010	0.
29300	3.3542e-010	0.	3.3542e-010	0.
29400	3.352e-010	0.	3.352e-010	0.
29500	3.3506e-010	0.	3.3506e-010	0.
29600	3.3499e-010	0.	3.3499e-010	0.
29700	3.349e-010	0.	3.349e-010	0.
29800	3.3402e-010	0.	3.3402e-010	0.
29900	3.3713e-010	0.	3.3713e-010	0.
30000	3.3681e-010	0.	3.3681e-010	0.
30100	3.3716e-010	0.	3.3716e-010	0.
30200	3.3771e-010	0.	3.3771e-010	0.
30300	3.384e-010	0.	3.384e-010	0.
30400	3.3921e-010	0.	3.3921e-010	0.
30500	3.4013e-010	0.	3.4013e-010	0.
30600	3.4117e-010	0.	3.4117e-010	0.
30700	3.4231e-010	0.	3.4231e-010	0.
30800	3.4357e-010	0.	3.4357e-010	0.
30900	3.4494e-010	0.	3.4494e-010	0.
31000	3.4642e-010	0.	3.4642e-010	0.
31100	3.4801e-010	0.	3.4801e-010	0.
31200	3.4973e-010	0.	3.4973e-010	0.
31300	3.5156e-010	0.	3.5156e-010	0.
31400	3.5351e-010	0.	3.5351e-010	0.
31500	3.5559e-010	0.	3.5559e-010	0.
31600	3.5779e-010	0.	3.5779e-010	0.
31700	3.6013e-010	0.	3.6013e-010	0.
31800	3.626e-010	0.	3.626e-010	0.
31900	3.652e-010	0.	3.652e-010	0.
32000	3.6795e-010	0.	3.6795e-010	0.
32100	3.7085e-010	0.	3.7085e-010	0.
32200	3.7389e-010	0.	3.7389e-010	0.
32300	3.771e-010	0.	3.771e-010	0.
32400	3.8046e-010	0.	3.8046e-010	0.
32500	3.8399e-010	0.	3.8399e-010	0.
32600	3.877e-010	0.	3.877e-010	0.
32700	3.9159e-010	0.	3.9159e-010	0.
32800	3.9567e-010	0.	3.9567e-010	0.
32900	3.9994e-010	0.	3.9994e-010	0.
33000	4.0442e-010	0.	4.0442e-010	0.
33100	4.0912e-010	0.	4.0912e-010	0.
33200	4.1403e-010	0.	4.1403e-010	0.
33300	4.1919e-010	0.	4.1919e-010	0.
33400	4.2459e-010	0.	4.2459e-010	0.
33500	4.3025e-010	0.	4.3025e-010	0.
33600	4.3618e-010	0.	4.3618e-010	0.
33700	4.424e-010	0.	4.424e-010	0.
33800	4.4892e-010	0.	4.4892e-010	0.
33900	4.5576e-010	0.	4.5576e-010	0.
34000	4.6293e-010	0.	4.6293e-010	0.
34100	4.7047e-010	0.	4.7047e-010	0.
34200	4.7838e-010	0.	4.7838e-010	0.
34300	4.867e-010	0.	4.867e-010	0.
34400	4.9545e-010	0.	4.9545e-010	0.
34500	5.0465e-010	0.	5.0465e-010	0.
34600	5.1434e-010	0.	5.1434e-010	0.
34700	5.2456e-010	0.	5.2456e-010	0.
34800	5.3533e-010	0.	5.3533e-010	0.
34900	5.467e-010	0.	5.467e-010	0.
35000	5.5872e-010	0.	5.5872e-010	0.
35100	5.7143e-010	0.	5.7143e-010	0.
35200	5.8489e-010	0.	5.8489e-010	0.
35300	5.9916e-010	0.	5.9916e-010	0.
35400	6.1431e-010	0.	6.1431e-010	0.
35500	6.3042e-010	0.	6.3042e-010	0.
35600	6.4757e-010	0.	6.4757e-010	0.
35700	6.6586e-010	0.	6.6586e-010	0.
35800	6.854e-010	0.	6.854e-010	0.
35900	7.0631e-010	0.	7.0631e-010	0.
36000	7.2874e-010	0.	7.2874e-010	0.
36100	7.5284e-010	0.	7.5284e-010	0.
36200	7.788e-010	0.	7.788e-010	0.
36300	8.0684e-010	0.	8.0684e-010	0.
36400	8.372e-010	0.	8.372e-010	0.
36500	8.7017e-010	0.	8.7017e-010	0.
36600	9.0609e-010	0.	9.0609e-010	0.
36700	9.4536e-010	0.	9.4536e-010	0.
36800	9.8846e-010	0.	9.8846e-010	0.
36900	1.036e-009	0.	1.036e-009	0.
37000	1.0886e-009	0.	1.0886e-009	0.
37100	1.1471e-009	0.	1.1471e-009	0.
37200	1.2127e-009	0.	1.2127e-009	0.
37300	1.2865e-009	0.	1.2865e-009	0.
37400	1.3703e-009	0.	1.3703e-009	0.
37500	1.4663e-009	0.	1.4663e-009	0.
37600	1.5771e-009	0.	1.5771e-009	0.
37700	1.7065e-009	0.	1.7065e-009	0.
37800	1.8596e-009	0.	1.8596e-009	0.
37900	2.0435e-009	0.	2.0435e-009	0.
38000	2.2684e-009	0.	2.2684e-009	0.
38100	2.5497e-009	0.	2.5497e-009	0.
38200	2.9116e-009	0.	2.9116e-009	0.
38300	3.3944e-009	0.	3.3944e-009	0.
38400	4.0705e-009	0.	4.0705e-009	0.
38500	5.0847e-009	0.	5.0847e-009	0.
38600	6.7746e-009	0.	6.7746e-009	0.
38700	1.0152e-008	0.	1.0152e-008	0.
38800	2.0258e-008	0.	2.0258e-008	0.
38900	4.9223e-006	0.	4.9223e-006	0.
39000	2.0422e-008	180.	-2.0422e-008	0.
39100	1.019e-008	180.	-1.019e-008	0.
39200	6.7896e-009	180.	-6.7896e-009	0.
39300	5.0914e-009	180.	-5.0914e-009	0.
39400	4.0735e-009	180.	-4.0735e-009	0.
39500	3.3954e-009	180.	-3.3954e-009	0.
39600	2.9113e-009	180.	-2.9113e-009	0.
39700	2.5486e-009	180.	-2.5486e-009	0.
39800	2.2667e-009	180.	-2.2667e-009	0.
39900	2.0413e-009	180.	-2.0413e-009	0.
40000	1.8571e-009	180.	-1.8571e-009	0.
40100	1.7037e-009	180.	-1.7037e-009	0.
40200	1.574e-009	180.	-1.574e-009	0.
40300	1.4684e-009	180.	-1.4684e-009	0.
40400	1.3677e-009	180.	-1.3677e-009	0.
40500	1.2836e-009	180.	-1.2836e-009	0.
40600	1.2096e-009	180.	-1.2096e-009	0.
40700	1.144e-009	180.	-1.144e-009	0.
40800	1.0853e-009	180.	-1.0853e-009	0.
40900	1.0327e-009	180.	-1.0327e-009	0.
41000	9.8509e-010	180.	-9.8509e-010	0.
41100	9.4193e-010	180.	-9.4193e-010	0.
41200	9.0261e-010	180.	-9.0261e-010	0.
41300	8.6665e-010	180.	-8.6665e-010	0.
41400	8.3364e-010	180.	-8.3364e-010	0.
41500	8.0325e-010	180.	-8.0325e-010	0.
41600	7.7517e-010	180.	-7.7517e-010	0.
41700	7.4918e-010	180.	-7.4918e-010	0.
41800	7.2504e-010	180.	-7.2504e-010	0.
41900	7.0258e-010	180.	-7.0258e-010	0.
42000	6.8164e-010	180.	-6.8164e-010	0.
42100	6.6207e-010	180.	-6.6207e-010	0.
42200	6.4375e-010	180.	-6.4375e-010	0.
42300	6.2656e-010	180.	-6.2656e-010	0.
42400	6.1043e-010	180.	-6.1043e-010	0.
42500	5.9524e-010	180.	-5.9524e-010	0.
42600	5.8094e-010	180.	-5.8094e-010	0.
42700	5.6745e-010	180.	-5.6745e-010	0.
42800	5.547e-010	180.	-5.547e-010	0.
42900	5.4266e-010	180.	-5.4266e-010	0.
43000	5.3125e-010	180.	-5.3125e-010	0.
43100	5.2045e-010	180.	-5.2045e-010	0.
43200	5.102e-010	180.	-5.102e-010	0.
43300	5.0047e-010	180.	-5.0047e-010	0.
43400	4.9123e-010	180.	-4.9123e-010	0.
43500	4.8245e-010	180.	-4.8245e-010	0.
43600	4.7409e-010	180.	-4.7409e-010	0.
43700	4.6614e-010	180.	-4.6614e-010	0.
43800	4.5857e-010	180.	-4.5857e-010	0.
43900	4.5135e-010	180.	-4.5135e-010	0.
44000	4.4447e-010	180.	-4.4447e-010	0.
44100	4.379e-010	180.	-4.379e-010	0.
44200	4.3164e-010	180.	-4.3164e-010	0.
44300	4.2567e-010	180.	-4.2567e-010	0.
44400	4.1996e-010	180.	-4.1996e-010	0.
44500	4.1452e-010	180.	-4.1452e-010	0.
44600	4.0931e-010	180.	-4.0931e-010	0.
44700	4.0435e-010	180.	-4.0435e-010	0.
44800	3.996e-010	180.	-3.996e-010	0.
44900	3.9507e-010	180.	-3.9507e-010	0.
45000	3.9074e-010	180.	-3.9074e-010	0.
45100	3.8661e-010	180.	-3.8661e-010	0.
45200	3.8266e-010	180.	-3.8266e-010	0.
45300	3.7889e-010	180.	-3.7889e-010	0.
45400	3.753e-010	180.	-3.753e-010	0.
45500	3.7187e-010	180.	-3.7187e-010	0.
45600	3.686e-010	180.	-3.686e-010	0.
45700	3.6549e-010	180.	-3.6549e-010	0.
45800	3.6252e-010	180.	-3.6252e-010	0.
45900	3.597e-010	180.	-3.597e-010	0.
46000	3.5702e-010	180.	-3.5702e-010	0.
46100	3.5447e-010	180.	-3.5447e-010	0.
46200	3.5206e-010	180.	-3.5206e-010	0.
46300	3.4977e-010	180.	-3.4977e-010	0.
46400	3.4761e-010	180.	-3.4761e-010	0.
46500	3.4556e-010	180.	-3.4556e-010	0.
46600	3.4364e-010	180.	-3.4364e-010	0.
46700	3.4183e-010	180.	-3.4183e-010	0.
46800	3.4014e-010	180.	-3.4014e-010	0.
46900	3.3855e-010	180.	-3.3855e-010	0.
47000	3.3707e-010	180.	-3.3707e-010	0.
47100	3.357e-010	180.	-3.357e-010	0.
47200	3.3444e-010	180.	-3.3444e-010	0.
47300	3.3328e-010	180.	-3.3328e-010	0.
47400	3.3222e-010	180.	-3.3222e-010	0.
47500	3.3126e-010	180.	-3.3126e-010	0.
47600	3.304e-010	180.	-3.304e-010	0.
47700	3.2964e-010	180.	-3.2964e-010	0.
47800	3.2898e-010	180.	-3.2898e-010	0.
47900	3.2841e-010	180.	-3.2841e-010	0.
48000	3.2794e-010	180.	-3.2794e-010	0.
48100	3.2757e-010	180.	-3.2757e-010	0.
48200	3.273e-010	180.	-3.273e-010	0.
48263	3.2718e-010	180.	-3.2718e-010	0.
48300	3.2712e-010	180.	-3.2712e-010	0.
48400	3.2704e-010	180.	-3.2704e-010	0.
48500	3.2706e-010	180.	-3.2706e-010	0.
48600	3.2717e-010	180.	-3.2717e-010	0.
48700	3.2739e-010	180.	-3.2739e-010	0.
48800	3.277e-010	180.	-3.277e-010	0.
48900	3.2811e-010	180.	-3.2811e-010	0.
49000	3.2863e-010	180.	-3.2863e-010	0.
49100	3.2924e-010	180.	-3.2924e-010	0.
49200	3.2996e-010	180.	-3.2996e-010	0.
49300	3.3079e-010	180.	-3.3079e-010	0.
49400	3.3172e-010	180.	-3.3172e-010	0.
49500	3.3277e-010	180.	-3.3277e-010	0.
49600	3.3393e-010	180.	-3.3393e-010	0.
49700	3.352e-010	180.	-3.352e-010	0.
49800	3.3659e-010	180.	-3.3659e-010	0.
49900	3.3809e-010	180.	-3.3809e-010	0.
50000	3.3973e-010	180.	-3.3973e-010	0.
50100	3.4148e-010	180.	-3.4148e-010	0.
50200	3.4337e-010	180.	-3.4337e-010	0.
50300	3.454e-010	180.	-3.454e-010	0.
50400	3.4755e-010	180.	-3.4755e-010	0.
50500	3.4985e-010	180.	-3.4985e-010	0.
50600	3.5229e-010	180.	-3.5229e-010	0.
50700	3.5486e-010	180.	-3.5486e-010	0.
50800	3.5755e-010	180.	-3.5755e-010	0.
50900	3.6021e-010	180.	-3.6021e-010	0.
51000	3.6017e-010	180.	-3.6017e-010	0.
51100	3.6832e-010	180.	-3.6832e-010	0.
51200	3.7133e-010	180.	-3.7133e-010	0.
51300	3.7491e-010	180.	-3.7491e-010	0.
51400	3.7879e-010	180.	-3.7879e-010	0.
51500	3.8292e-010	180.	-3.8292e-010	0.
51600	3.8731e-010	180.	-3.8731e-010	0.
51700	3.9195e-010	180.	-3.9195e-010	0.
51800	3.9687e-010	180.	-3.9687e-010	0.
51900	4.0208e-010	180.	-4.0208e-010	0.
52000	4.0759e-010	180.	-4.0759e-010	0.
52100	4.1342e-010	180.	-4.1342e-010	0.
52200	4.1959e-010	180.	-4.1959e-010	0.
52300	4.2613e-010	180.	-4.2613e-010	0.
52400	4.3305e-010	180.	-4.3305e-010	0.
52500	4.4039e-010	180.	-4.4039e-010	0.
52600	4.4818e-010	180.	-4.4818e-010	0.
52700	4.5645e-010	180.	-4.5645e-010	0.
52800	4.6524e-010	180.	-4.6524e-010	0.
52900	4.7458e-010	180.	-4.7458e-010	0.
53000	4.8454e-010	180.	-4.8454e-010	0.
53100	4.9515e-010	180.	-4.9515e-010	0.
53200	5.0648e-010	180.	-5.0648e-010	0.
53300	5.186e-010	180.	-5.186e-010	0.
53400	5.3157e-010	180.	-5.3157e-010	0.
53500	5.4549e-010	180.	-5.4549e-010	0.
53600	5.6045e-010	180.	-5.6045e-010	0.
53700	5.7657e-010	180.	-5.7657e-010	0.
53800	5.9396e-010	180.	-5.9396e-010	0.
53900	6.1278e-010	180.	-6.1278e-010	0.
54000	6.332e-010	180.	-6.332e-010	0.
54100	6.5542e-010	180.	-6.5542e-010	0.
54200	6.7967e-010	180.	-6.7967e-010	0.
54300	7.0624e-010	180.	-7.0624e-010	0.
54400	7.3546e-010	180.	-7.3546e-010	0.
54500	7.6772e-010	180.	-7.6772e-010	0.
54600	8.0351e-010	180.	-8.0351e-010	0.
54700	8.4343e-010	180.	-8.4343e-010	0.
54800	8.8821e-010	180.	-8.8821e-010	0.
54900	9.3879e-010	180.	-9.3879e-010	0.
55000	9.9632e-010	180.	-9.9632e-010	0.
55100	1.0623e-009	180.	-1.0623e-009	0.
55200	1.1388e-009	180.	-1.1388e-009	0.
55300	1.2285e-009	180.	-1.2285e-009	0.
55400	1.3349e-009	180.	-1.3349e-009	0.
55500	1.4633e-009	180.	-1.4633e-009	0.
55600	1.6212e-009	180.	-1.6212e-009	0.
55700	1.82e-009	180.	-1.82e-009	0.
55800	2.0779e-009	180.	-2.0779e-009	0.
55900	2.4257e-009	180.	-2.4257e-009	0.
56000	2.9201e-009	180.	-2.9201e-009	0.
56100	3.6781e-009	180.	-3.6781e-009	0.
56200	4.9871e-009	180.	-4.9871e-009	0.
56300	7.7891e-009	180.	-7.7891e-009	0.
56400	1.8022e-008	180.	-1.8022e-008	0.
56500	5.5043e-008	0.	5.5043e-008	0.
56600	1.0803e-008	0.	1.0803e-008	0.
56700	5.9626e-009	0.	5.9626e-009	0.
56800	4.1053e-009	0.	4.1053e-009	0.
56900	3.1232e-009	0.	3.1232e-009	0.
57000	2.5158e-009	0.	2.5158e-009	0.
57100	2.103e-009	0.	2.103e-009	0.
57200	1.8044e-009	0.	1.8044e-009	0.
57300	1.5783e-009	0.	1.5783e-009	0.
57400	1.4012e-009	0.	1.4012e-009	0.
57500	1.2588e-009	0.	1.2588e-009	0.
57600	1.1418e-009	0.	1.1418e-009	0.
57700	1.044e-009	0.	1.044e-009	0.
57800	9.6104e-010	0.	9.6104e-010	0.
57900	8.898e-010	0.	8.898e-010	0.
58000	8.2798e-010	0.	8.2798e-010	0.
58100	7.7382e-010	0.	7.7382e-010	0.
58200	7.2599e-010	0.	7.2599e-010	0.
58300	6.8347e-010	0.	6.8347e-010	0.
58400	6.454e-010	0.	6.454e-010	0.
58500	6.1115e-010	0.	6.1115e-010	0.
58600	5.8016e-010	0.	5.8016e-010	0.
58700	5.5199e-010	0.	5.5199e-010	0.
58800	5.2629e-010	0.	5.2629e-010	0.
58900	5.0274e-010	0.	5.0274e-010	0.
59000	4.811e-010	0.	4.811e-010	0.
59100	4.6113e-010	0.	4.6113e-010	0.
59200	4.4266e-010	0.	4.4266e-010	0.
59300	4.2553e-010	0.	4.2553e-010	0.
59400	4.096e-010	0.	4.096e-010	0.
59500	3.9474e-010	0.	3.9474e-010	0.
59600	3.8087e-010	0.	3.8087e-010	0.
59700	3.6788e-010	0.	3.6788e-010	0.
59800	3.5569e-010	0.	3.5569e-010	0.
59900	3.4424e-010	0.	3.4424e-010	0.
60000	3.3346e-010	0.	3.3346e-010	0.
60100	3.2329e-010	0.	3.2329e-010	0.
60200	3.1369e-010	0.	3.1369e-010	0.
60300	3.0461e-010	0.	3.0461e-010	0.
60400	2.9602e-010	0.	2.9602e-010	0.
60500	2.8786e-010	0.	2.8786e-010	0.
60600	2.8012e-010	0.	2.8012e-010	0.
60700	2.7277e-010	0.	2.7277e-010	0.
60800	2.6577e-010	0.	2.6577e-010	0.
60900	2.591e-010	0.	2.591e-010	0.
61000	2.5274e-010	0.	2.5274e-010	0.
61100	2.4668e-010	0.	2.4668e-010	0.
61200	2.4088e-010	0.	2.4088e-010	0.
61300	2.3534e-010	0.	2.3534e-010	0.
61400	2.3003e-010	0.	2.3003e-010	0.
61500	2.2495e-010	0.	2.2495e-010	0.
61600	2.2009e-010	0.	2.2009e-010	0.
61700	2.1542e-010	0.	2.1542e-010	0.
61800	2.1093e-010	0.	2.1093e-010	0.
61900	2.0663e-010	0.	2.0663e-010	0.
62000	2.0249e-010	0.	2.0249e-010	0.
62100	1.9851e-010	0.	1.9851e-010	0.
62200	1.9468e-010	0.	1.9468e-010	0.
62300	1.9099e-010	0.	1.9099e-010	0.
62400	1.8744e-010	0.	1.8744e-010	0.
62500	1.8401e-010	0.	1.8401e-010	0.
62600	1.807e-010	0.	1.807e-010	0.
62700	1.7751e-010	0.	1.7751e-010	0.
62800	1.7443e-010	0.	1.7443e-010	0.
62900	1.7145e-010	0.	1.7145e-010	0.
63000	1.6857e-010	0.	1.6857e-010	0.
63100	1.6579e-010	0.	1.6579e-010	0.
63200	1.6307e-010	0.	1.6307e-010	0.
63300	1.6043e-010	0.	1.6043e-010	0.
63400	1.5781e-010	0.	1.5781e-010	0.
63500	1.5506e-010	0.	1.5506e-010	0.
63600	1.4868e-010	0.	1.4868e-010	0.
63700	1.3203e-010	0.	1.3203e-010	0.
63800	1.4864e-010	0.	1.4864e-010	0.
63900	1.4668e-010	0.	1.4668e-010	0.
64000	1.4463e-010	0.	1.4463e-010	0.
64100	1.4261e-010	0.	1.4261e-010	0.
64200	1.4066e-010	0.	1.4066e-010	0.
64300	1.3875e-010	0.	1.3875e-010	0.
64400	1.3691e-010	0.	1.3691e-010	0.
64500	1.3512e-010	0.	1.3512e-010	0.
64600	1.3337e-010	0.	1.3337e-010	0.
64700	1.3168e-010	0.	1.3168e-010	0.
64800	1.3004e-010	0.	1.3004e-010	0.
64900	1.2844e-010	0.	1.2844e-010	0.
65000	1.2689e-010	0.	1.2689e-010	0.
65100	1.2537e-010	0.	1.2537e-010	0.
65200	1.2391e-010	0.	1.2391e-010	0.
65300	1.2248e-010	0.	1.2248e-010	0.
65400	1.2109e-010	0.	1.2109e-010	0.
65500	1.1973e-010	0.	1.1973e-010	0.
65600	1.1842e-010	0.	1.1842e-010	0.
65700	1.1713e-010	0.	1.1713e-010	0.
65800	1.1589e-010	0.	1.1589e-010	0.
65900	1.1467e-010	0.	1.1467e-010	0.
66000	1.1349e-010	0.	1.1349e-010	0.
66100	1.1233e-010	0.	1.1233e-010	0.
66200	1.1121e-010	0.	1.1121e-010	0.
66300	1.1012e-010	0.	1.1012e-010	0.
66400	1.0905e-010	0.	1.0905e-010	0.
66500	1.0801e-010	0.	1.0801e-010	0.
66600	1.07e-010	0.	1.07e-010	0.
66700	1.0602e-010	0.	1.0602e-010	0.
66800	1.0506e-010	0.	1.0506e-010	0.
66900	1.0412e-010	0.	1.0412e-010	0.
67000	1.0321e-010	0.	1.0321e-010	0.
67100	1.0232e-010	0.	1.0232e-010	0.
67200	1.0145e-010	0.	1.0145e-010	0.
67300	1.0061e-010	0.	1.0061e-010	0.
67400	9.9786e-011	0.	9.9786e-011	0.
67500	9.8983e-011	0.	9.8983e-011	0.
67600	9.8201e-011	0.	9.8201e-011	0.
67700	9.7439e-011	0.	9.7439e-011	0.
67800	9.6697e-011	0.	9.6697e-011	0.
67900	9.5973e-011	0.	9.5973e-011	0.
68000	9.5268e-011	0.	9.5268e-011	0.
68100	9.4581e-011	0.	9.4581e-011	0.
68200	9.3912e-011	0.	9.3912e-011	0.
68300	9.326e-011	0.	9.326e-011	0.
68400	9.2625e-011	0.	9.2625e-011	0.
68500	9.2007e-011	0.	9.2007e-011	0.
68600	9.1405e-011	0.	9.1405e-011	0.
68700	9.0819e-011	0.	9.0819e-011	0.
68800	9.0249e-011	0.	9.0249e-011	0.
68900	8.9694e-011	0.	8.9694e-011	0.
69000	8.9155e-011	0.	8.9155e-011	0.
69100	8.863e-011	0.	8.863e-011	0.
69200	8.8119e-011	0.	8.8119e-011	0.
69300	8.7623e-011	0.	8.7623e-011	0.
69400	8.7142e-011	0.	8.7142e-011	0.
69500	8.6674e-011	0.	8.6674e-011	0.
69600	8.622e-011	0.	8.622e-011	0.
69700	8.5779e-011	0.	8.5779e-011	0.
69800	8.5352e-011	0.	8.5352e-011	0.
69900	8.4938e-011	0.	8.4938e-011	0.
70000	8.4537e-011	0.	8.4537e-011	0.
