Frequency (Hz)	Amplitude (m)	Phase Angle (deg)	Real (m)	Imaginary (m)
15100	1.5885e-010	180.	-1.5885e-010	0.
15200	1.6164e-010	180.	-1.6164e-010	0.
15300	1.6452e-010	180.	-1.6452e-010	0.
15400	1.6751e-010	180.	-1.6751e-010	0.
15500	1.706e-010	180.	-1.706e-010	0.
15600	1.738e-010	180.	-1.738e-010	0.
15700	1.7712e-010	180.	-1.7712e-010	0.
15800	1.8056e-010	180.	-1.8056e-010	0.
15900	1.8412e-010	180.	-1.8412e-010	0.
16000	1.8783e-010	180.	-1.8783e-010	0.
16100	1.9167e-010	180.	-1.9167e-010	0.
16200	1.9567e-010	180.	-1.9567e-010	0.
16300	1.9983e-010	180.	-1.9983e-010	0.
16400	2.0415e-010	180.	-2.0415e-010	0.
16500	2.0865e-010	180.	-2.0865e-010	0.
16600	2.1334e-010	180.	-2.1334e-010	0.
16700	2.1823e-010	180.	-2.1823e-010	0.
16800	2.2334e-010	180.	-2.2334e-010	0.
16900	2.2867e-010	180.	-2.2867e-010	0.
17000	2.3424e-010	180.	-2.3424e-010	0.
17100	2.4007e-010	180.	-2.4007e-010	0.
17200	2.4617e-010	180.	-2.4617e-010	0.
17300	2.5256e-010	180.	-2.5256e-010	0.
17400	2.5927e-010	180.	-2.5927e-010	0.
17500	2.6631e-010	180.	-2.6631e-010	0.
17600	2.7371e-010	180.	-2.7371e-010	0.
17700	2.815e-010	180.	-2.815e-010	0.
17800	2.8971e-010	180.	-2.8971e-010	0.
17900	2.9837e-010	180.	-2.9837e-010	0.
18000	3.0751e-010	180.	-3.0751e-010	0.
18100	3.1718e-010	180.	-3.1718e-010	0.
18200	3.2742e-010	180.	-3.2742e-010	0.
18300	3.3828e-010	180.	-3.3828e-010	0.
18400	3.4981e-010	180.	-3.4981e-010	0.
18500	3.6204e-010	180.	-3.6204e-010	0.
18600	3.7497e-010	180.	-3.7497e-010	0.
18700	3.8814e-010	180.	-3.8814e-010	0.
18800	4.0718e-010	180.	-4.0718e-010	0.
18900	4.2154e-010	180.	-4.2154e-010	0.
19000	4.3865e-010	180.	-4.3865e-010	0.
19100	4.5732e-010	180.	-4.5732e-010	0.
19200	4.7758e-010	180.	-4.7758e-010	0.
19300	4.996e-010	180.	-4.996e-010	0.
19400	5.2361e-010	180.	-5.2361e-010	0.
19500	5.4986e-010	180.	-5.4986e-010	0.
19600	5.7867e-010	180.	-5.7867e-010	0.
19700	6.1044e-010	180.	-6.1044e-010	0.
19800	6.4563e-010	180.	-6.4563e-010	0.
19900	6.8481e-010	180.	-6.8481e-010	0.
20000	7.2869e-010	180.	-7.2869e-010	0.
20100	7.7817e-010	180.	-7.7817e-010	0.
20200	8.3437e-010	180.	-8.3437e-010	0.
20300	8.9875e-010	180.	-8.9875e-010	0.
20400	9.7322e-010	180.	-9.7322e-010	0.
20500	1.0603e-009	180.	-1.0603e-009	0.
20600	1.1636e-009	180.	-1.1636e-009	0.
20700	1.2879e-009	180.	-1.2879e-009	0.
20800	1.4403e-009	180.	-1.4403e-009	0.
20900	1.6317e-009	180.	-1.6317e-009	0.
21000	1.8789e-009	180.	-1.8789e-009	0.
21100	2.2108e-009	180.	-2.2108e-009	0.
21200	2.6793e-009	180.	-2.6793e-009	0.
21300	3.3907e-009	180.	-3.3907e-009	0.
21400	4.5995e-009	180.	-4.5995e-009	0.
21500	7.1066e-009	180.	-7.1066e-009	0.
21600	1.5425e-008	180.	-1.5425e-008	0.
21700	9.7688e-008	0.	9.7688e-008	0.
21800	1.1838e-008	0.	1.1838e-008	0.
21900	6.3342e-009	0.	6.3342e-009	0.
22000	4.3397e-009	0.	4.3397e-009	0.
22100	3.3097e-009	0.	3.3097e-009	0.
22200	2.681e-009	0.	2.681e-009	0.
22300	2.2574e-009	0.	2.2574e-009	0.
22400	1.9527e-009	0.	1.9527e-009	0.
22500	1.7231e-009	0.	1.7231e-009	0.
22600	1.5439e-009	0.	1.5439e-009	0.
22700	1.4001e-009	0.	1.4001e-009	0.
22800	1.2824e-009	0.	1.2824e-009	0.
22900	1.1841e-009	0.	1.1841e-009	0.
23000	1.101e-009	0.	1.101e-009	0.
23100	1.0297e-009	0.	1.0297e-009	0.
23200	9.6793e-010	0.	9.6793e-010	0.
23300	9.1392e-010	0.	9.1392e-010	0.
23400	8.6631e-010	0.	8.6631e-010	0.
23500	8.2405e-010	0.	8.2405e-010	0.
23600	7.863e-010	0.	7.863e-010	0.
23700	7.5238e-010	0.	7.5238e-010	0.
23800	7.2176e-010	0.	7.2176e-010	0.
